gp_code,list_jul26
D81054,19935
D81055,5845
D81056,6818
D81057,20985
D81058,7828
D81059,7693
D81060,7565
D81061,11960
D81062,8211
D81064,7159
D81065,7264
D81066,10631
D81070,10747
D81073,5726
D81078,4163
D81081,5139
D81082,8106
D81084,12506
D81085,7479
D81086,7802
D81603,7571
D81606,13314
D81607,3604
D81611,13595
D81612,4950
D81615,11566
D81618,3422
D81622,14966
D81625,32645
D81629,6379
D81630,13298
D81631,14807
D81633,11216
D81637,14329
D81645,2675
D82001,14306
D82002,12273
D82003,24666
D82004,12048
D82005,9357
D82006,8893
D82007,25055
D82008,19293
D82009,7037
D82010,5316
D82011,17579
D82012,14446
D82013,8898
D82015,8353
D82016,10003
D82017,10943
D82018,11066
D82019,19453
D82020,12725
D82022,7010
D82023,15059
D82024,12976
D82025,10447
D82026,8630
D82027,7564
D82028,5901
D82029,19362
D82030,8905
D82031,8131
D82032,8496
D82034,18854
D82035,10925
D82036,9028
D82037,11150
D82038,3276
D82039,8625
D82040,12976
D82041,9657
D82042,8621
D82043,6708
D82044,29712
D82045,19412
D82046,4512
D82047,6524
D82048,12425
D82049,3489
D82050,11150
D82051,18336
D82053,5756
D82054,15653
D82056,9965
D82057,7048
D82058,17505
D82059,11919
D82062,8872
D82063,13995
D82064,22700
D82065,7819
D82066,6694
D82067,15034
D82068,7943
D82070,6443
D82071,13921
D82072,3938
D82073,15352
D82076,8761
D82078,10063
D82079,5602
D82080,8989
D82084,8137
D82085,8107
D82087,6849
D82088,19255
D82096,8267
D82099,16746
D82100,4668
D82104,9493
D82105,7815
D82106,5911
D82600,2002
D82604,3584
D82618,5667
D82621,7046
D82624,8809
D82628,4121
D83001,11268
D83002,15364
D83003,5030
D83004,9985
D83005,13686
D83006,7599
D83007,9629
D83008,15969
D83009,19128
D83010,6391
D83011,11756
D83012,27704
D83013,13790
D83015,8178
D83016,10487
D83017,13809
D83018,12897
D83019,7928
D83020,8047
D83021,20458
D83022,5341
D83023,11451
D83024,13749
D83026,9038
D83027,11621
D83028,9178
D83029,13780
D83030,7550
D83033,10171
D83034,11683
D83035,10710
D83037,16341
D83038,16183
D83040,11229
D83041,10061
D83043,6319
D83044,23771
D83045,5523
D83046,29358
D83047,15879
D83048,17901
D83049,6857
D83050,28298
D83051,19476
D83053,9344
D83054,6917
D83055,16202
D83056,10991
D83057,14634
D83059,21400
D83060,24072
D83061,9966
D83062,7549
D83067,8542
D83069,6399
D83070,5103
D83073,5385
D83074,14018
D83075,13428
D83076,5693
D83078,10262
D83079,9257
D83080,6015
D83081,8218
D83084,6553
D83608,6628
D83610,12734
E81002,10184
E81003,21378
E81004,12475
E81005,10462
E81006,9516
E81007,6681
E81008,11933
E81009,12346
E81010,9106
E81012,13045
E81013,14448
E81014,18385
E81015,14414
E81016,6342
E81018,13005
E81019,22919
E81021,22648
E81022,19445
E81024,5957
E81025,7583
E81026,10100
E81027,13712
E81028,15998
E81029,18080
E81031,5172
E81032,47418
E81033,20579
E81034,8622
E81035,10143
E81036,13008
E81037,46527
E81038,21050
E81040,9508
E81041,13907
E81043,10642
E81044,19352
E81045,10608
E81046,12179
E81047,18113
E81048,10977
E81049,7677
E81050,12784
E81052,8099
E81057,21739
E81060,6239
E81061,7241
E81063,9473
E81069,4942
E81073,17356
E81074,11677
E81076,5956
E81612,5546
E81615,4136
E81617,5227
E81631,9758
E81632,8375
E81633,5480
E81635,8914
E82001,43809
E82002,10820
E82004,4794
E82005,48036
E82006,7732
E82007,11737
E82008,11088
E82009,23585
E82012,14700
E82013,36665
E82014,19837
E82015,8358
E82017,13324
E82018,14869
E82019,15938
E82020,6608
E82021,6629
E82022,18593
E82023,12127
E82024,18120
E82027,12568
E82031,19699
E82032,14952
E82035,12562
E82037,15478
E82038,20264
E82040,20858
E82041,12762
E82042,9233
E82043,15243
E82044,14634
E82045,18113
E82046,10419
E82050,5380
E82051,14739
E82053,17907
E82055,13387
E82056,10437
E82058,16801
E82059,10280
E82060,21610
E82061,14259
E82062,16093
E82063,12248
E82066,3753
E82067,16581
E82068,19394
E82069,8788
E82070,3666
E82071,17361
E82073,48526
E82074,23099
E82075,12484
E82077,12461
E82078,10182
E82079,8924
E82081,13623
E82082,18337
E82083,10231
E82084,13534
E82085,18599
E82086,24388
E82088,10176
E82090,9895
E82091,15997
E82092,16759
E82093,13665
E82094,12693
E82096,10280
E82098,7572
E82099,12666
E82100,13822
E82102,17014
E82105,4986
E82106,14001
E82107,10827
E82111,7764
E82113,7204
E82115,10459
E82117,12414
E82121,5193
E82123,9630
E82124,33375
E82129,15580
E82132,6179
E82133,9691
E82626,2755
E82638,6805
E82643,3006
E82652,3175
E82654,10830
E82655,4277
E82657,6174
E82661,8045
E83003,10489
E83005,5838
E83006,6627
E83007,4756
E83008,8059
E83009,12789
E83010,12614
E83011,11184
E83012,10235
E83013,5288
E83016,25404
E83017,17184
E83018,17953
E83020,11497
E83021,12367
E83024,11275
E83025,7789
E83026,3610
E83027,10808
E83028,5995
E83030,7496
E83031,6339
E83032,16657
E83034,5066
E83035,24772
E83038,8871
E83039,5253
E83041,4634
E83044,9806
E83045,9630
E83046,7591
E83050,7177
E83053,14506
E83600,7910
E83613,11289
E83621,9266
E83622,8749
E83637,12487
E83638,5344
E83639,5844
E83649,4335
E83653,11960
E83668,3944
E84002,7194
E84003,14324
E84004,7377
E84005,7205
E84006,16445
E84007,5803
E84008,10354
E84009,11908
E84011,1630
E84012,8016
E84013,8443
E84014,10294
E84015,14296
E84017,7475
E84018,7750
E84020,6212
E84021,17191
E84022,6899
E84024,22067
E84025,19582
E84028,6061
E84030,4428
E84031,9447
E84032,6269
E84033,6580
E84036,8679
E84039,18823
E84040,4458
E84042,6918
E84044,11271
E84048,7687
E84049,7530
E84051,6395
E84053,3142
E84057,12341
E84058,26248
E84059,4625
E84061,11410
E84062,5486
E84063,8911
E84066,118653
E84067,9206
E84068,14682
E84069,19031
E84070,5899
E84074,12279
E84075,11610
E84076,6337
E84078,5472
E84080,7922
E84083,5848
E84086,6472
E84601,7667
E84617,7511
E84620,5968
E84626,4829
E84635,5368
E84637,4901
E84638,6272
E84645,8763
E84646,7169
E84647,5054
E84653,7019
E84656,5909
E84658,5282
E84663,7790
E84665,8640
E84674,4952
E84676,3891
E84678,4528
E84680,4996
E84684,4985
E84685,7624
E84693,10104
E84699,3934
E84701,5088
E84702,15093
E84704,2556
E84709,26120
E85001,9097
E85003,17721
E85004,7353
E85005,5109
E85006,5028
E85007,12955
E85008,6206
E85012,5150
E85013,5827
E85014,8124
E85015,9555
E85016,12233
E85019,10966
E85020,15157
E85021,6991
E85023,3226
E85024,5273
E85025,11043
E85026,15129
E85028,8119
E85029,14440
E85030,7230
E85032,4456
E85033,10781
E85034,5103
E85035,7315
E85038,5465
E85040,7720
E85041,6120
E85042,7902
E85045,3228
E85046,6009
E85048,7200
E85049,8365
E85050,7471
E85051,4698
E85052,7144
E85053,3362
E85054,11628
E85055,10360
E85056,6862
E85057,10240
E85058,7072
E85059,7580
E85060,6285
E85061,6389
E85062,13154
E85064,7448
E85066,3883
E85069,5549
E85071,2279
E85074,5970
E85075,5136
E85077,3153
E85083,6529
E85088,6495
E85090,5403
E85091,3367
E85096,5633
E85098,6402
E85099,7025
E85103,3072
E85107,7704
E85108,4734
E85109,3886
E85111,5257
E85112,9237
E85113,6810
E85114,7498
E85115,4052
E85116,5858
E85118,7016
E85119,13695
E85120,7164
E85121,14458
E85122,14102
E85123,8695
E85124,93531
E85125,5844
E85126,10814
E85127,8126
E85128,12217
E85129,5702
E85130,4160
E85600,7154
E85605,8167
E85623,3023
E85624,7032
E85628,10026
E85633,9280
E85635,5554
E85636,14844
E85640,3444
E85643,6993
E85649,4209
E85656,5583
E85657,11571
E85658,4523
E85659,2303
E85663,9770
E85677,8437
E85680,10161
E85681,8866
E85682,5569
E85683,3913
E85685,12391
E85687,5727
E85693,22401
E85694,5102
E85696,7646
E85697,6128
E85699,6665
E85707,7290
E85708,7618
E85712,10421
E85713,6304
E85715,7804
E85716,16085
E85718,4884
E85719,9643
E85721,2142
E85725,7395
E85726,3255
E85734,5716
E85735,7108
E85736,7676
E85739,10420
E85743,2997
E85744,9412
E85745,7929
E85746,3755
E85748,5985
E85750,6881
E86001,11220
E86004,11047
E86005,6877
E86006,8267
E86007,8872
E86009,8750
E86010,16475
E86011,6273
E86012,11072
E86014,7655
