gp_code,allf2f_early,allf2f_late,d_allf2f,gpf2f_early,gpf2f_late,d_gpf2f,othf2f_early,othf2f_late,d_othf2f,gpf2f_ofgp_early,gpf2f_ofgp_late,d_gpf2f_ofgp
C83022,84.45,84.21,-0.24,12.27,14.48,2.22,72.19,69.73,-2.46,94.04,92.89,-1.15
C83023,66.47,56.29,-10.19,19.13,17.65,-1.48,47.34,38.64,-8.7,53.96,71.5,17.54
C83024,80.82,79.18,-1.64,47.92,44.81,-3.11,32.89,34.37,1.47,81.48,82.63,1.15
C83025,73.95,68.5,-5.45,38.98,27.31,-11.67,34.97,41.19,6.22,90.81,63.17,-27.64
C83026,57.02,43.29,-13.72,15.14,11.02,-4.12,41.88,32.27,-9.61,40.68,28.13,-12.55
C83027,76.87,73.68,-3.19,24.64,23.77,-0.88,52.22,49.92,-2.31,86.59,79.25,-7.35
C83028,63.73,61.56,-2.17,17.86,22.93,5.07,45.87,38.62,-7.24,63.14,58.02,-5.12
C83029,65.15,78.2,13.05,24.63,24.6,-0.03,40.52,53.6,13.08,74.27,87.48,13.21
C83030,87.99,71.95,-16.04,30.6,20.87,-9.73,57.39,51.08,-6.31,94.25,85.95,-8.3
C83031,70.84,50.12,-20.72,18.7,22.91,4.21,52.14,27.21,-24.93,62.54,75.04,12.5
C83032,86.33,65.34,-21.0,12.44,7.35,-5.09,73.89,57.99,-15.9,58.21,40.75,-17.46
C83033,84.88,78.78,-6.1,38.38,27.15,-11.23,46.5,51.63,5.13,78.71,72.92,-5.8
C83035,26.1,19.98,-6.12,8.37,5.24,-3.13,17.73,14.75,-2.99,16.81,20.26,3.46
C83036,46.81,50.8,3.98,9.72,11.45,1.73,37.09,39.35,2.26,25.48,38.39,12.91
C83037,84.65,60.31,-24.33,34.88,24.46,-10.42,49.77,35.85,-13.92,87.12,65.01,-22.11
C83038,76.59,75.97,-0.62,34.22,30.65,-3.58,42.37,45.32,2.95,74.94,72.85,-2.09
C83039,86.21,34.21,-52.0,40.85,7.74,-33.1,45.36,26.46,-18.9,99.12,19.08,-80.04
C83040,41.91,47.83,5.93,5.64,7.28,1.64,36.27,40.55,4.29,14.48,21.0,6.52
C83041,73.76,69.46,-4.3,25.06,25.36,0.31,48.7,44.1,-4.6,70.97,55.33,-15.64
C83042,51.38,46.85,-4.53,15.82,12.53,-3.28,35.57,34.32,-1.25,58.56,44.51,-14.05
C83043,87.54,77.47,-10.07,29.76,23.23,-6.53,57.78,54.24,-3.54,92.53,75.45,-17.08
C83044,54.99,33.02,-21.97,15.34,10.66,-4.68,39.65,22.36,-17.29,98.79,67.87,-30.92
C83045,60.68,62.24,1.56,30.08,32.31,2.23,30.6,29.93,-0.67,56.19,67.22,11.02
C83046,59.99,60.97,0.98,7.54,3.08,-4.46,52.46,57.89,5.44,31.55,29.97,-1.58
C83048,41.22,32.87,-8.35,4.51,7.63,3.12,36.71,25.24,-11.48,12.21,21.07,8.86
C83049,55.94,61.05,5.12,11.56,17.98,6.41,44.37,43.08,-1.29,22.84,36.88,14.04
C83051,55.73,45.59,-10.13,16.54,13.6,-2.95,39.18,32.0,-7.19,33.92,37.63,3.71
C83052,82.56,70.35,-12.21,39.72,38.31,-1.42,42.84,32.04,-10.8,77.08,75.99,-1.09
C83053,52.38,63.34,10.97,16.56,15.49,-1.07,35.81,47.85,12.04,35.49,39.14,3.65
