gp_code,sat_24,cont_24,n_24,sat_25,cont_25,n_25,sd_24,oc_24,sd_25,oc_25,rural,imd_score,log_list,gp_per10k,nurse_per10k,dpc_per10k,merged_recent,dispensing_f,region,d_sat,d_cont,d_sd,d_oc,w
A84031,91.0821123657241,35.901615345213,115.0,85.0559392,65.3417802,121.0,42.98835813395125,239.67806910766384,42.90006242846738,265.4480584968707,0.0,13.7,9.26584603188159,7.0766344242366905,4.53477757018187,1.5136106709552302,0.0,0.0,NORTH EAST AND YORKSHIRE,-6.026173165724103,29.440164854787,-0.08829570548387267,25.76998938920687,115.0
A84033,91.9199518397069,68.5174594715926,107.0,88.66469719999999,63.899067499999994,125.0,34.06508626735867,7.641291302712786,34.15742208135235,7.715801852715479,0.0,14.2,8.671043826234493,20.16696437617,4.664256419783079,1.463296132839852,0.0,0.0,NORTH EAST AND YORKSHIRE,-3.255254639706905,-4.618391971592608,0.09233581399367807,0.07451055000269236,107.0
A84034,89.0257768991035,45.641024036897996,112.0,88.329884,55.592118899999996,102.0,31.817934930204768,6.87267802484246,28.349658103862502,6.813854957180713,1.0,23.02,8.624446913826675,25.389007829562978,7.186381806476727,5.317922536792778,0.0,0.0,NORTH EAST AND YORKSHIRE,-0.695892899103498,9.951094863102,-3.468276826342265,-0.05882306766174672,102.0
A84035,93.154302645241,73.5554799027828,196.0,91.6161599,77.4487996,196.0,33.79873143564357,7.07598962996357,32.82733839328274,8.213282297566371,0.0,14.31,8.692168385199192,13.55073944118758,0.9849873367565376,2.149063282638199,0.0,1.0,NORTH EAST AND YORKSHIRE,-1.5381427452410037,3.893319697217194,-0.9713930423608303,1.137292667602801,196.0
A84036,66.17642399398021,37.5359758872057,227.0,56.862640600000006,27.7862986,110.0,40.47651926365771,85.01725291245263,32.33858269865223,179.50847891204796,0.0,26.77,10.82345152977658,11.231415059979277,8.153993304638929,7.255195515901483,0.0,0.0,NORTH EAST AND YORKSHIRE,-9.313783393980202,-9.749677287205703,-8.137936565005475,94.49122599959533,110.0
A84037,83.8842982743056,60.4940925832466,130.0,95.9864693,73.1540257,117.0,29.03830941349305,10.22314315581494,31.677951756242066,13.760906383783796,1.0,23.43,8.697735388310115,8.994657168299199,10.284951024042742,3.2947462166073023,0.0,0.0,NORTH EAST AND YORKSHIRE,12.102171025694389,12.659933116753407,2.639642342749017,3.5377632279688562,117.0
A84038,94.25284933964029,55.1298783993787,114.0,90.5892822,49.1064825,108.0,44.23979922279793,26.59943352375637,45.66430784439006,42.059243150158956,0.0,18.49,9.075922872589285,10.638298682833367,4.880513215705339,4.54497793359833,0.0,0.0,NORTH EAST AND YORKSHIRE,-3.6635671396402927,-6.0233958993786985,1.4245086215921319,15.459809626402585,108.0
A84039,84.5055147358983,58.4672531651715,120.0,86.3393537,37.3794658,112.0,20.771082939282294,27.211370155985055,25.73728539839499,35.65190711951406,0.0,13.62,8.852593425076115,14.95697771612442,3.3559766406864497,11.05946847765463,0.0,1.0,NORTH EAST AND YORKSHIRE,1.8338389641017017,-21.0877873651715,4.966202459112697,8.440536963529002,112.0
A84040,93.30618164677,56.791358419016206,110.0,88.6371556,66.7350748,116.0,31.35398003583312,9.833542949551983,36.222397476340696,13.472297278784922,1.0,19.62,8.145041962338006,10.121146173376856,8.43428847587958,21.27916817990569,0.0,1.0,NORTH EAST AND YORKSHIRE,-4.66902604677,9.943716380983801,4.868417440507574,3.6387543292329383,110.0
A84042,90.8926392648646,78.8717528527504,119.0,96.3036492,83.8405156,126.0,36.59926720043425,5.719820725428537,38.42824757848458,6.2381020666862055,1.0,17.91,7.652268667938008,13.762596477340194,6.079556698990699,21.025133580843065,0.0,1.0,NORTH EAST AND YORKSHIRE,5.411009935135397,4.968762747249599,1.828980378050332,0.5182813412576683,119.0
