gp_code,sat_24,cont_24,sat_25,cont_25,sat_26,cont_26,d_sat_25_26,d_cont_25_26,n_25,n_26,deflection_2026,access_satisfaction_2026,pt_same_day_2026,imd_score,rural,region
C81083,63.8770846806006,28.4822501884541,69.2572701,33.9931178,80.3729466893839,45.3881862010002,11.115676589383895,11.395068401000202,127.0,89.0,4.18608777050252,66.982304006565,52.69365989053269,17.34,0.0,MIDLANDS
C81086,71.4651504079443,39.5880871163712,81.0510805,14.6353757,79.4066794864613,30.8425645411335,-1.6444010135386975,16.207188841133497,104.0,185.0,2.27677667241321,70.5136134042524,56.487829612917196,13.04,1.0,MIDLANDS
C81089,89.0076560719421,40.2209324594915,92.9308076,51.62262,91.1485327782489,78.2312435490838,-1.7822748217510878,26.608623549083802,135.0,101.0,1.1363625917506999,90.0437915021266,39.3978562014185,9.66,0.0,MIDLANDS
C82030,67.8905822866731,16.878582265894,81.3012087,42.1587029,83.4292124454627,34.6662264640977,2.128003745462692,-7.492476435902304,115.0,85.0,3.1507102178265396,80.3260209111065,57.299141326985605,14.38,0.0,MIDLANDS
C82031,62.4012718929763,19.164019072015602,74.558724,20.5702101,81.5736162845606,28.5222049138723,7.014892284560602,7.9519948138723,95.0,115.0,8.74108593756241,77.63740724576719,53.2738195865322,24.56,0.0,MIDLANDS
C82033,58.2564030998228,28.28831361227,71.34988799999999,25.6889826,61.4653079775169,20.1336941734701,-9.884580022483092,-5.5552884265298985,88.0,98.0,17.3401737070881,51.2710409514442,45.7901107848808,28.32,0.0,MIDLANDS
C82035,68.6786466065145,27.698637889733803,80.4031928,21.2671972,90.4135306145598,41.864486828715805,10.010337814559804,20.597289628715806,82.0,115.0,9.79897357597228,76.5449630337825,35.8165708229391,19.26,0.0,MIDLANDS
C82038,64.4228076719053,42.1192624740314,45.8290821,31.384357400000003,50.7962054639718,42.3759777130121,4.967123363971801,10.991620313012096,113.0,116.0,14.6946761630153,51.519810064580895,44.495643753405204,15.26,0.0,MIDLANDS
C82041,64.3908505155455,25.836857665084402,73.3687642,38.9587527,74.4270027104869,21.6630014337624,1.0582385104869019,-17.2957512662376,98.0,100.0,6.56698776922975,55.7802919407233,50.0419705456274,15.12,0.0,MIDLANDS
C82044,78.41789367356951,35.2027243921423,79.690899,29.4434823,93.2085271082509,47.8482083038064,13.517628108250904,18.404726003806402,125.0,106.0,3.8040941627168596,85.1700125020335,56.5322319775003,9.82,1.0,MIDLANDS
C82045,80.718566187208,36.6560429459491,80.8370859,39.3299542,71.2435426903612,26.294158580078903,-9.59354320963881,-13.0357956199211,119.0,108.0,20.5456304391853,54.251741265187206,52.701749403673105,19.45,0.0,MIDLANDS
C82086,85.96630353995191,53.819647158893204,77.5607081,40.2727448,81.6606110510546,27.010299411876797,4.099902951054602,-13.2624453881232,112.0,92.0,6.4769789333455705,66.8122195515031,49.751142900526105,38.07,0.0,MIDLANDS
C82088,64.9650767197386,18.285390200317998,69.4410604,29.130132600000003,68.9406868234544,35.3723595194274,-0.5003735765455986,6.242226919427395,96.0,84.0,4.04325118442965,65.8534389564399,47.6819393980019,29.45,0.0,MIDLANDS
C82091,82.52258895089149,23.4958100753343,82.4471237,43.8159181,73.5561616279155,36.171490671607096,-8.890962072084506,-7.644427428392902,112.0,105.0,9.345984136181231,62.68266125231,63.675681212190405,31.21,0.0,MIDLANDS
C82092,71.17896321209581,44.2792017329508,71.5384162,35.0175726,80.442171684496,51.096211155122596,8.903755484496003,16.078638555122595,122.0,116.0,6.371579515445649,79.41172498540679,59.9510542357519,29.3,0.0,MIDLANDS
C82093,84.71309814593229,28.013922386732297,82.5092567,36.9663094,88.3454103648708,43.9757589322818,5.836153664870807,7.009449532281799,107.0,110.0,6.0371283200582795,87.53080457356491,64.5377966901899,8.56,1.0,MIDLANDS
C82094,62.7571567175403,18.0722437665955,71.9634272,34.9907318,80.98273531517171,37.7422775282391,9.019308115171711,2.751545728239101,97.0,93.0,8.664702961186102,76.3877619203431,50.0187974989166,36.93,0.0,MIDLANDS
C82098,80.1344921327598,29.5853716568103,84.6815689,54.8852637,80.0043379058015,25.2498192633771,-4.677230994198496,-29.635444436622905,110.0,105.0,3.30096452003259,73.24694148500251,55.8005370719915,11.23,0.0,MIDLANDS
C82102,97.1617301591646,84.4057768431276,92.3725719,85.1445333,95.2762596851907,91.0628385186276,2.903687785190698,5.918305218627594,136.0,99.0,0.0,97.6931400680525,54.22722103270981,13.35,1.0,MIDLANDS
C82109,88.2226819278849,59.8189292667203,93.2381438,64.7757893,90.27536118646779,55.397361836387105,-2.9627826135322124,-9.378427463612894,95.0,109.0,10.9105598216325,84.2822074328498,58.717714533780295,13.03,1.0,MIDLANDS
C82669,62.4110517857657,52.55680797576841,65.7050931,45.1776012,76.7978352052657,75.27012976727259,11.0927421052657,30.092528567272595,106.0,103.0,14.06686290875,69.3640830508628,53.4290818615894,29.0,0.0,MIDLANDS
C82671,68.6409424052337,16.9213590233554,67.73580340000001,38.2400211,82.8899841697813,53.6231586643079,15.154180769781291,15.383137564307901,75.0,91.0,5.4444505552610805,70.8744038696945,49.9692141042398,33.03,0.0,MIDLANDS
C82676,78.603738920715,45.1884140670998,79.7666365,56.6672932,79.7706224639211,58.420287894096305,0.0039859639210959585,1.7529946940963015,96.0,87.0,9.530249748313139,75.9211562382482,51.527373926725296,27.92,0.0,MIDLANDS
C82678,55.7701007233538,23.631821934472498,52.0633557,42.8486834,65.0193835721656,64.4159964964451,12.956027872165592,21.567313096445105,99.0,85.0,6.59073402152451,58.568870288765496,60.9363015541434,20.27,0.0,MIDLANDS
C82680,45.5391093423368,28.915959860224298,57.0376169,48.737335,52.11842945173319,29.5685738036232,-4.919187448266811,-19.168761196376803,86.0,83.0,16.5601194525534,55.12624409986609,47.2392145285643,25.78,0.0,MIDLANDS
C83003,57.27839902429061,8.39340714346792,58.6917798,3.7445313,60.888823263201395,0.0,2.197043463201396,-3.7445313,108.0,105.0,11.3602180241574,56.49715188816909,42.4895491892277,19.06,0.0,MIDLANDS
C83004,70.1196495733291,21.9322187770731,68.37522080000001,29.1542356,73.97502768681619,35.366905852096494,5.599806886816182,6.212670252096494,105.0,118.0,4.20813994533892,70.5242634444581,45.595197891498,30.8,0.0,MIDLANDS
C83007,50.975418889057,5.762585558558319,43.4035873,14.9936983,65.1468413871243,34.9047721446544,21.7432540871243,19.911073844654403,114.0,98.0,5.63453781463782,57.5141924586145,50.5594924715034,12.24,0.0,MIDLANDS
C83008,72.5363492234454,57.31274420970281,81.79991650000001,30.5022617,75.55078904576989,31.5236901932823,-6.24912745423012,1.0214284932823006,99.0,119.0,9.34494280746202,69.71847205675449,60.3914529405044,23.34,0.0,MIDLANDS
C83009,77.1341214582309,48.0784201358129,77.8103459,37.3295988,77.9922228527182,46.147774174299,0.18187695271819848,8.818175374299003,116.0,117.0,4.3929039220334305,78.89848680165579,59.897493915230605,35.33,0.0,MIDLANDS
C83010,61.5925203076586,41.1263377270634,70.8033569,47.8699487,66.13934857130181,36.830253127046,-4.664008328698188,-11.039695572954003,103.0,109.0,19.0061861450957,64.2095218496209,55.8687364866044,30.44,0.0,MIDLANDS
C83011,84.475202084814,35.935018654510095,85.6596079,53.5137684,80.4269382116066,28.299645991244997,-5.2326696883934005,-25.214122408755,110.0,92.0,4.27632413968024,77.6158927334125,51.4425244686058,15.18,1.0,MIDLANDS
C83013,65.1318509563097,18.9978860738286,75.88241740000001,48.6361915,67.9332695985752,25.956056361588598,-7.9491478014248145,-22.680135138411405,109.0,123.0,10.2665501210195,62.4384638166029,55.528508684412905,14.81,1.0,MIDLANDS
C83051,79.9558968098903,27.124229345533802,66.86798950000001,53.4482349,77.5395774519826,20.9311201546191,10.671587951982588,-32.5171147453809,98.0,100.0,5.2772687481927605,77.921028841275,56.8263405252816,36.94,0.0,MIDLANDS
C83053,76.6440703460881,56.3475790307125,84.68283100000001,52.2042123,87.2633486422061,58.41818655201651,2.5805176422060896,6.213974252016506,106.0,124.0,2.51296558535601,85.5797137170114,51.9568400617428,19.8,1.0,MIDLANDS
C83056,52.539707205686504,13.856879424482498,52.57399579999999,28.8443347,69.7196794481454,38.7884501870014,17.145683648145408,9.944115487001401,144.0,109.0,8.15064358909399,61.6220344627071,52.5847695060383,23.18,0.0,MIDLANDS
C83061,70.0217710857342,38.019923854484,80.3869575,50.2171885,76.1269811545093,41.931110951385705,-4.259976345490699,-8.286077548614294,113.0,107.0,9.78878937685938,78.2283391155089,70.4902212319238,15.44,1.0,MIDLANDS
C83062,81.6022702712637,40.791515623116,84.5514213,59.9830692,84.2017738651725,62.338131568103606,-0.34964743482750293,2.355062368103603,117.0,102.0,2.60815426067387,88.57143223687099,52.050212578153,16.33,1.0,MIDLANDS
C84018,70.3116813366021,27.8653619385615,86.05077399999999,46.9494468,70.3700297614444,41.032497916514,-15.68074423855559,-5.9169488834860005,99.0,116.0,15.489390275772399,61.3617159379108,61.554461081823,35.51,0.0,MIDLANDS
C84019,69.64327734761339,55.7011872475647,59.8585543,52.604015800000006,62.3282371591738,28.0429482152455,2.469682859173801,-24.561067584754507,101.0,124.0,0.956946956557448,66.3356987829783,41.8169282484256,21.85,0.0,MIDLANDS
C84020,64.2513370532063,25.8975325026473,73.2123306,32.1956697,62.861625520792295,13.711112257866501,-10.350705079207707,-18.4845574421335,127.0,117.0,18.7926161051457,58.734347737989204,49.7519467865893,28.34,0.0,MIDLANDS
C84021,64.6138158833832,29.5230742707068,75.3901015,45.1188912,77.2143129581925,34.948654278274496,1.8242114581924938,-10.170236921725504,117.0,102.0,4.41516036168147,66.4998454502917,64.9035527717297,27.31,1.0,MIDLANDS
C84025,94.8062839213044,50.6677122665252,89.853336,51.6131547,91.65051774783291,68.8018252749105,1.7971817478329086,17.188670574910496,113.0,103.0,0.8168688188275571,94.4042003449478,53.25391763466371,8.51,1.0,MIDLANDS
C84026,86.9345538576888,36.0444543130632,86.92169360000001,37.6603928,80.8324875961588,30.391369357189603,-6.089206003841213,-7.2690234428103935,118.0,105.0,6.31676883533185,71.623014757489,58.2828507103067,15.25,0.0,MIDLANDS
C84028,78.7181611532688,26.0155465762517,81.73604209999999,26.3764139,86.87534150448421,51.059233385111405,5.13929940448422,24.682819485111406,123.0,107.0,0.597731965826821,85.8530470025084,39.4494819193754,7.35,0.0,MIDLANDS
C84029,78.4088875746738,42.6874663173351,66.6488568,19.1872649,76.29613141449279,37.878175226226105,9.647274614492787,18.690910326226106,125.0,114.0,2.00478147545489,73.8274625140056,37.067721403242,24.85,0.0,MIDLANDS
C84030,82.7690090775114,42.8196764367982,83.4339238,61.787355600000005,89.5572687005027,52.231294867478894,6.123344900502701,-9.55606073252111,110.0,134.0,3.3268347189432,92.1555345382713,47.6680317955611,13.27,0.0,MIDLANDS
C84033,74.2393885324886,23.3484002926234,81.738388,26.7607767,81.7981352497323,26.837498650769696,0.05974724973229684,0.07672195076969501,105.0,109.0,5.75998346289641,78.833425373566,38.4962710345941,15.68,0.0,MIDLANDS
C84034,64.571458640222,6.90039401321862,68.1508436,11.5630282,75.7186484853895,38.0380838357177,7.567804885389492,26.475055635717702,112.0,103.0,8.47971027902814,67.685839491292,55.5958600905201,36.45,0.0,MIDLANDS
C84085,71.2878334286127,28.788292671953702,77.2037701,42.7914468,85.4245000357748,26.9315480472751,8.220729935774798,-15.859898752724902,98.0,115.0,7.924864995124089,74.81970588933869,48.3221163298211,24.07,0.0,MIDLANDS
C84087,73.2643426059808,38.5809694569439,77.8154164,41.7525099,61.4982587374286,22.704821026376,-16.317157662571404,-19.047688873624,121.0,116.0,25.303247985888298,54.81925105664251,49.8020669356417,23.1,1.0,MIDLANDS
C84090,78.7717799149402,52.7208528044642,65.8680214,46.0253077,79.5867445854102,40.4162232782692,13.718723185410198,-5.609084421730799,100.0,126.0,4.81034945008551,68.38103549790459,60.3212657307191,6.83,0.0,MIDLANDS
C84091,72.3233867521579,30.431323447909698,68.9161203,19.6264498,69.29719862350329,20.8217956544101,0.38107832350328863,1.1953458544100997,132.0,109.0,10.838709750385899,60.7970271528839,34.3448749421159,41.05,0.0,MIDLANDS
C84105,65.8254007913112,23.6399018952788,68.41067290000001,16.156774900000002,66.2818520049288,32.465950651703004,-2.1288208950712146,16.309175751703002,114.0,98.0,10.5998362134087,67.3840686139923,51.4552252611861,47.81,0.0,MIDLANDS
