gp_code,year,list_size
C83028,2013,8060
C83029,2013,5876
C83030,2013,4576
C83031,2013,11048
C83032,2013,7412
C83033,2013,3251
C83035,2013,11989
C83036,2013,6064
C83037,2013,9350
C83038,2013,8024
C83039,2013,5692
C83040,2013,16050
C83041,2013,7535
C83042,2013,6029
C83043,2013,9786
C83044,2013,9945
C83045,2013,12877
C83046,2013,6410
C83047,2013,8842
C83048,2013,13707
C83049,2013,6873
C83051,2013,5430
C83052,2013,3327
C83053,2013,2477
C83054,2013,10065
C83055,2013,4652
C83056,2013,10411
C83057,2013,5231
C83058,2013,6875
C83059,2013,11998
C83060,2013,8203
C83061,2013,9649
C83062,2013,3456
C83063,2013,15483
C83064,2013,13836
C83065,2013,6332
C83067,2013,5637
C83068,2013,3834
C83071,2013,7257
C83072,2013,9613
C83073,2013,5080
C83074,2013,3733
C83075,2013,6990
C83078,2013,7203
C83079,2013,3471
C83080,2013,5323
C83081,2013,3381
C83082,2013,9544
C83083,2013,7895
C83085,2013,8418
C83605,2013,2567
C83611,2013,5475
C83613,2013,5387
C83614,2013,3728
C83615,2013,2758
C83617,2013,7110
C83626,2013,5093
C83628,2013,1205
C83631,2013,3564
C83633,2013,4008
C83634,2013,3364
C83635,2013,5911
C83637,2013,6769
C83641,2013,3980
C83643,2013,2493
C83644,2013,3520
C83649,2013,3751
C83650,2013,3538
C83652,2013,2079
C83653,2013,1776
C83655,2013,2224
C83656,2013,6470
C84001,2013,27253
C84002,2013,11377
C84003,2013,6258
C84004,2013,5616
C84005,2013,11218
C84008,2013,5080
C84009,2013,13266
C84010,2013,11880
C84011,2013,9072
C84012,2013,13078
C84013,2013,7134
C84014,2013,9142
C84016,2013,14152
C84017,2013,23201
C84018,2013,7934
