month,gp_code,gp_name,inb_total,ans_total,pct_u2_total,inb_core,ans_core,pct_u2_core,inb_810,ans_810,pct_u2_810
2026-06-01,G85706,THE OLD DAIRY HEALTH CENTRE,1950.0,1381.0,0.951,1900.0,1381.0,0.951,425.0,317.0,0.959
2026-06-01,G83673,ELMSTEAD MEDICAL CLINIC,4613.0,2892.0,0.65,4118.0,2803.0,0.662,1445.0,841.0,0.545
2026-06-01,G83680,ELTHAM MEDICAL PRACTICE,12605.0,5284.0,0.481,11821.0,5200.0,0.478,2969.0,1082.0,0.515
2026-06-01,G83015,ELTHAM PALACE SURGERY,1805.0,1042.0,0.542,1670.0,1030.0,0.543,453.0,301.0,0.452
2026-06-01,G83027,EVEREST HEALTH PARTNERSHIP,9419.0,7300.0,0.855,8600.0,7226.0,0.855,2245.0,1951.0,0.869
2026-06-01,G83628,NEW ELTHAM AND BLACKFEN MEDICAL CENTRE,3399.0,2415.0,0.808,3254.0,2403.0,0.81,700.0,511.0,0.773
2026-06-01,G83058,PRIMECARE PMS (SOUTH STREET),6980.0,3494.0,0.566,5869.0,3454.0,0.569,2321.0,972.0,0.419
2026-06-01,G84039,NORHEADS LANE SURGERY,1568.0,1151.0,0.672,1513.0,1144.0,0.673,320.0,220.0,0.691
2026-06-01,G84004,STOCK HILL SURGERY,3974.0,2339.0,0.517,3766.0,2339.0,0.517,769.0,538.0,0.519
2026-06-01,G84006,SUMMERCROFT SURGERY,4803.0,3078.0,0.51,4524.0,3078.0,0.51,1023.0,662.0,0.542
2026-06-01,Unassigned,Unmapped,7224.0,2322.0,0.672,6865.0,2308.0,0.67,1553.0,489.0,0.718
2026-06-01,G85690,HERNE HILL ROAD MEDICAL PRACTICE,2382.0,1568.0,0.893,2255.0,1557.0,0.894,638.0,409.0,0.902
2026-06-01,G85135,MINET GREEN HEALTH PRACTICE,5131.0,3156.0,0.45,4917.0,3139.0,0.449,1289.0,846.0,0.453
