period,GP_CODE,all_fast,all_known,all_total,gp_fast,gp_known,gp_total
janfeb,Y02177,4265,7249,7249,841,1984,1984
janfeb,Y02212,1355,2475,2475,922,1327,1327
janfeb,Y02274,1296,2452,2452,804,1466,1466
janfeb,Y02319,2683,4676,4676,2274,3064,3064
janfeb,Y02321,1016,2318,2318,500,1131,1131
janfeb,Y02322,2846,5756,5756,2030,3452,3452
janfeb,Y02325,1349,2732,2732,547,1132,1132
janfeb,Y02332,5859,10523,10523,3254,5444,5444
janfeb,Y02342,5618,9548,9548,3091,3564,3564
janfeb,Y02354,4679,9304,9304,2955,4133,4133
janfeb,Y02378,4001,6823,6823,1107,1797,1797
janfeb,Y02423,18823,38926,38926,12772,23046,23046
janfeb,Y02463,6492,9173,9173,5154,6023,6023
janfeb,Y02466,2450,7645,7645,960,2932,2932
janfeb,Y02469,2429,5877,5877,998,2226,2226
janfeb,Y02476,4152,6701,6701,2795,3922,3922
janfeb,Y02494,2121,4013,4013,1392,2196,2196
janfeb,Y02510,5043,7758,7758,2079,2715,2715
janfeb,Y02517,16023,23179,23179,12950,15628,15628
janfeb,Y02519,2992,7716,7716,2012,4114,4114
janfeb,Y02520,1339,2751,2751,410,694,694
janfeb,Y02521,6103,8628,8628,2915,3841,3841
janfeb,Y02567,1658,4274,4274,1241,2674,2674
janfeb,Y02571,3712,6141,6141,2913,4156,4156
janfeb,Y02575,5920,12484,12484,2913,6731,6731
janfeb,Y02578,1942,4765,4765,1338,2682,2682
janfeb,Y02586,773,2075,2075,442,951,951
janfeb,Y02589,1730,4580,4580,656,2302,2302
janfeb,Y02594,2233,3411,3411,2010,2369,2369
janfeb,Y02605,1300,2578,2578,894,1367,1367
janfeb,Y02606,1304,2858,2858,1060,1566,1566
janfeb,Y02611,6414,10430,10430,3189,4003,4003
janfeb,Y02622,5744,10930,10930,1706,1718,1718
janfeb,Y02625,4270,5708,5708,2866,3543,3543
janfeb,Y02626,5215,6831,6831,1280,1832,1832
janfeb,Y02627,15472,20615,20615,11742,13357,13357
janfeb,Y02633,2864,5354,5354,1947,2922,2922
janfeb,Y02636,4862,6895,6895,1234,2066,2066
janfeb,Y02639,2455,5555,5555,2017,3131,3131
janfeb,Y02646,4268,7543,7543,3463,5585,5585
janfeb,Y02653,4038,6334,6334,3142,3960,3960
janfeb,Y02657,2906,5610,5610,1498,2428,2428
janfeb,Y02663,1016,2000,2000,477,709,709
