section,measure,group,value,unit,weighted_base_n,ci95_low,ci95_high,period,source,note
comeback_by_limitation,Told to come back another day (Q12) by limitation (Q41),"most_deprived / limited: Yes, a little",9.7,%,22131,9.3,10.1,GPPS 2026,GPPS 2026 analysis-tool crosstab exports (data/GPPS_National_Crosstab_*.xlsx),
diversion_by_limitation,Sent elsewhere (Q14) by limitation (Q41),"most_deprived / limited: Yes, a little",11.7,%,17903,11.2,12.1,GPPS 2026,GPPS 2026 analysis-tool crosstab exports (data/GPPS_National_Crosstab_*.xlsx),
comeback_by_limitation,Told to come back another day (Q12) by limitation (Q41),"most_deprived / limited: No, not at all",6.3,%,14872,5.9,6.6,GPPS 2026,GPPS 2026 analysis-tool crosstab exports (data/GPPS_National_Crosstab_*.xlsx),
diversion_by_limitation,Sent elsewhere (Q14) by limitation (Q41),"most_deprived / limited: No, not at all",12.7,%,12776,12.1,13.3,GPPS 2026,GPPS 2026 analysis-tool crosstab exports (data/GPPS_National_Crosstab_*.xlsx),
comeback_by_limitation,Told to come back another day (Q12) by limitation (Q41),"least_deprived / limited: Yes, a lot",6.8,%,7963,6.3,7.4,GPPS 2026,GPPS 2026 analysis-tool crosstab exports (data/GPPS_National_Crosstab_*.xlsx),
diversion_by_limitation,Sent elsewhere (Q14) by limitation (Q41),"least_deprived / limited: Yes, a lot",7.0,%,6583,6.4,7.6,GPPS 2026,GPPS 2026 analysis-tool crosstab exports (data/GPPS_National_Crosstab_*.xlsx),
comeback_by_limitation,Told to come back another day (Q12) by limitation (Q41),"least_deprived / limited: Yes, a little",5.8,%,20161,5.5,6.1,GPPS 2026,GPPS 2026 analysis-tool crosstab exports (data/GPPS_National_Crosstab_*.xlsx),
diversion_by_limitation,Sent elsewhere (Q14) by limitation (Q41),"least_deprived / limited: Yes, a little",5.9,%,17372,5.6,6.3,GPPS 2026,GPPS 2026 analysis-tool crosstab exports (data/GPPS_National_Crosstab_*.xlsx),
comeback_by_limitation,Told to come back another day (Q12) by limitation (Q41),"least_deprived / limited: No, not at all",3.7,%,21951,3.4,3.9,GPPS 2026,GPPS 2026 analysis-tool crosstab exports (data/GPPS_National_Crosstab_*.xlsx),
diversion_by_limitation,Sent elsewhere (Q14) by limitation (Q41),"least_deprived / limited: No, not at all",5.3,%,19949,5.0,5.6,GPPS 2026,GPPS 2026 analysis-tool crosstab exports (data/GPPS_National_Crosstab_*.xlsx),
comeback_by_condition,Told to come back another day (Q12): Another long-term condition or illness,most_deprived,10.6,%,21207,10.2,11.1,GPPS 2026,GPPS 2026 analysis-tool crosstab exports (data/GPPS_National_Crosstab_*.xlsx),post cites learning disability (most deprived) and cancer (least deprived)
comeback_by_condition,Told to come back another day (Q12): Another long-term condition or illness,least_deprived,5.9,%,18965,5.6,6.2,GPPS 2026,GPPS 2026 analysis-tool crosstab exports (data/GPPS_National_Crosstab_*.xlsx),post cites learning disability (most deprived) and cancer (least deprived)
comeback_by_condition,Told to come back another day (Q12): Arthritis or problem with your back or joints,most_deprived,10.2,%,28752,9.8,10.5,GPPS 2026,GPPS 2026 analysis-tool crosstab exports (data/GPPS_National_Crosstab_*.xlsx),post cites learning disability (most deprived) and cancer (least deprived)
comeback_by_condition,Told to come back another day (Q12): Arthritis or problem with your back or joints,least_deprived,5.2,%,23546,5.0,5.5,GPPS 2026,GPPS 2026 analysis-tool crosstab exports (data/GPPS_National_Crosstab_*.xlsx),post cites learning disability (most deprived) and cancer (least deprived)
comeback_by_condition,Told to come back another day (Q12): Autism or autism spectrum condition,most_deprived,11.9,%,4831,11.0,12.8,GPPS 2026,GPPS 2026 analysis-tool crosstab exports (data/GPPS_National_Crosstab_*.xlsx),post cites learning disability (most deprived) and cancer (least deprived)
comeback_by_condition,Told to come back another day (Q12): Autism or autism spectrum condition,least_deprived,6.3,%,2473,5.4,7.3,GPPS 2026,GPPS 2026 analysis-tool crosstab exports (data/GPPS_National_Crosstab_*.xlsx),post cites learning disability (most deprived) and cancer (least deprived)
comeback_by_condition,Told to come back another day (Q12): Blindness or partial sight,most_deprived,9.4,%,1935,8.1,10.7,GPPS 2026,GPPS 2026 analysis-tool crosstab exports (data/GPPS_National_Crosstab_*.xlsx),post cites learning disability (most deprived) and cancer (least deprived)
comeback_by_condition,Told to come back another day (Q12): Blindness or partial sight,least_deprived,6.9,%,1325,5.6,8.3,GPPS 2026,GPPS 2026 analysis-tool crosstab exports (data/GPPS_National_Crosstab_*.xlsx),post cites learning disability (most deprived) and cancer (least deprived)
comeback_by_condition,Told to come back another day (Q12): Cancer in the last five years,most_deprived,7.8,%,3165,6.9,8.7,GPPS 2026,GPPS 2026 analysis-tool crosstab exports (data/GPPS_National_Crosstab_*.xlsx),post cites learning disability (most deprived) and cancer (least deprived)
comeback_by_condition,Told to come back another day (Q12): Cancer in the last five years,least_deprived,4.4,%,4842,3.8,5.0,GPPS 2026,GPPS 2026 analysis-tool crosstab exports (data/GPPS_National_Crosstab_*.xlsx),post cites learning disability (most deprived) and cancer (least deprived)
comeback_by_condition,Told to come back another day (Q12): Deafness or hearing loss,most_deprived,10.0,%,6271,9.3,10.8,GPPS 2026,GPPS 2026 analysis-tool crosstab exports (data/GPPS_National_Crosstab_*.xlsx),post cites learning disability (most deprived) and cancer (least deprived)
comeback_by_condition,Told to come back another day (Q12): Deafness or hearing loss,least_deprived,4.7,%,7709,4.2,5.2,GPPS 2026,GPPS 2026 analysis-tool crosstab exports (data/GPPS_National_Crosstab_*.xlsx),post cites learning disability (most deprived) and cancer (least deprived)
comeback_by_condition,Told to come back another day (Q12): Dementia or Alzheimer’s disease,most_deprived,10.8,%,593,8.3,13.3,GPPS 2026,GPPS 2026 analysis-tool crosstab exports (data/GPPS_National_Crosstab_*.xlsx),post cites learning disability (most deprived) and cancer (least deprived)
comeback_by_condition,Told to come back another day (Q12): Dementia or Alzheimer’s disease,least_deprived,3.4,%,649,2.0,4.8,GPPS 2026,GPPS 2026 analysis-tool crosstab exports (data/GPPS_National_Crosstab_*.xlsx),post cites learning disability (most deprived) and cancer (least deprived)
